taxa_raw,taxa_trimmed,taxa_replacement,taxa_removed,taxa_clean,rank,authority,authority_id,score,difference
Gray-headed Junco,,,,,,,,,
Woodpecker,,,,,,,,,
Downy Woodpecker,,,,Downy Woodpecker,Common,ITIS,1145276,Downy Woodpecker,
Common Black Hawk,,,,Common Black Hawk,Common,ITIS,175402,Common Black Hawk,
Wilson's Warbler,,,,Wilson's Warbler,Common,ITIS,950080,Wilson's Warbler,
Blue Jay,,,,Blue Jay,Common,ITIS,179680,Blue Jay,
Burrowing Owl,,,,Burrowing Owl,Common,ITIS,177946,Burrowing Owl,
Little Blue Heron,,,,Little Blue Heron,Common,ITIS,174827,Little Blue Heron,
Cormorant,,,,,,,,,
Towhee,,,,,,,,,
Raptor,,,,,,,,,
White-breasted Nuthatch,,,,White-breasted Nuthatch,Common,ITIS,178775,White-breasted Nuthatch,
Black Vulture,,,,Black Vulture,Common,ITIS,175272,Black Vulture,
Bald Eagle,,,,Bald Eagle,Common,ITIS,175420,Bald Eagle,
Yellow Warbler,,,,Yellow Warbler,Common,ITIS,950039,Yellow Warbler,
Cinnamon Teal,,,,Cinnamon Teal,Common,ITIS,1192576,Cinnamon Teal,
Bell's Vireo,,,,Bell's Vireo,Common,ITIS,179003,Bell's Vireo,
Cliff Swallow,,,,,,,,,
Barn Swallow,,,,Barn Swallow,Common,ITIS,178448,Barn Swallow,
Bewick's Wren,,,,Bewick's Wren,Common,ITIS,178562,Bewick's Wren,
Bendire's Thrasher,,,,Bendire's Thrasher,Common,ITIS,178636,Bendire's Thrasher,
Lucy's Warbler,,,,Lucy's Warbler,Common,ITIS,950017,Lucy's Warbler,
Eared Grebe,,,,Eared Grebe,Common,ITIS,174485,Eared Grebe,
Brown-crested Flycatcher,,,,Brown-crested Flycatcher,Common,ITIS,178312,Brown-crested Flycatcher,
Chipping Sparrow,,,,Chipping Sparrow,Common,ITIS,179435,Chipping Sparrow,
Lazuli Bunting,,,,Lazuli Bunting,Common,ITIS,179151,Lazuli Bunting,
Rufous-crowned Sparrow,,,,Rufous-crowned Sparrow,Common,ITIS,179377,Rufous-crowned Sparrow,
Gnatcatcher,,,,,,,,,
White-faced Ibis,,,,White-faced Ibis,Common,ITIS,174926,White-faced Ibis,
Cassin's Kingbird,,,,Cassin's Kingbird,Common,ITIS,178288,Cassin's Kingbird,
Bullock's Oriole,,,,Bullock's Oriole,Common,ITIS,554267,Bullock's Oriole,
Eurasian Collared-Dove,,,,Eurasian Collared-Dove,Common,ITIS,177139,Eurasian Collared-Dove,
Bank Swallow,,,,Bank Swallow,Common,ITIS,178436,Bank Swallow,
Wilson's Phalarope,,,,Wilson's Phalarope,Common,ITIS,176736,Wilson's Phalarope,
Long-billed Curlew,,,,Long-billed Curlew,Common,ITIS,176593,Long-billed Curlew,
Neotropic Cormorant,,,,Neotropic Cormorant,Common,ITIS,554375,Neotropic Cormorant,
Hooded Oriole,,,,Hooded Oriole,Common,ITIS,179070,Hooded Oriole,
Western Grebe,,,,Western Grebe,Common,ITIS,174503,Western Grebe,
Bronzed Cowbird,,,,Bronzed Cowbird,Common,ITIS,179116,Bronzed Cowbird,
Summer Tanager,,,,Summer Tanager,Common,ITIS,179888,Summer Tanager,
Pacific Slope Flycatcher,,,,,,,,,
Duck,,,,,,,,,
Canyon Towhee,,,,Canyon Towhee,Common,ITIS,997737,Canyon Towhee,
Cedar Waxwing,,,,Cedar Waxwing,Common,ITIS,178532,Cedar Waxwing,
Thrasher,,,,,,,,,
Prairie Falcon,,,,Prairie Falcon,Common,ITIS,175603,Prairie Falcon,
Merlin,,,,Merlin,Common,ITIS,175613,Merlin,
American Robin,,,,American Robin,Common,ITIS,179759,American Robin,
Spotted Sandpiper,,,,Spotted Sandpiper,Common,ITIS,726049,Spotted Sandpiper,
American Pipit,,,,American Pipit,Common,ITIS,554127,American Pipit,
Yellow-rumped Warbler,,,,Yellow-rumped Warbler,Common,ITIS,950046,Yellow-rumped Warbler,
Empidonax Flycatcher,,,,,,,,,
Flicker,,,,,,,,,
Owl,,,,,,,,,
Bufflehead,,,,Bufflehead,Common,ITIS,175145,Bufflehead,
Yellowlegs,,,,,,,,,
Bird,,,,,,,,,
Sandpiper,,,,,,,,,
Dowitcher,,,,,,,,,
Ruddy Duck,,,,Ruddy Duck,Common,ITIS,175175,Ruddy Duck,
Blackbird,,,,,,,,,
Wilson's Snipe,,,,Wilson's Snipe,Common,ITIS,726048,Wilson's Snipe,
Common Merganser,,,,Common Merganser,Common,ITIS,175185,Common Merganser,
Egret,,,,,,,,,
Ferruginous Hawk,,,,Ferruginous Hawk,Common,ITIS,175377,Ferruginous Hawk,
Gull,,,,,,,,,
Swallow,,,,,,,,,
MacGillivray's Warbler,,,,MacGillivray's Warbler,Common,ITIS,950023,MacGillivray's Warbler,
Great Horned Owl,,,,Great Horned Owl,Common,ITIS,177884,Great Horned Owl,
Virginia's Warbler,,,,Virginia's Warbler,Common,ITIS,950019,Virginia's Warbler,
Hermit Warbler,,,,Hermit Warbler,Common,ITIS,950059,Hermit Warbler,
Townsend's Warbler,,,,Townsend's Warbler,Common,ITIS,950058,Townsend's Warbler,
Black-headed Grosbeak,,,,Black-headed Grosbeak,Common,ITIS,179140,Black-headed Grosbeak,
Vaux's Swift,,,,Vaux's Swift,Common,ITIS,178002,Vaux's Swift,
Wader,,,,,,,,,
Tanager,,,,,,,,,
Black-chinned Sparrow,,,,Black-chinned Sparrow,Common,ITIS,179448,Black-chinned Sparrow,
Western Tanager,,,,Western Tanager,Common,ITIS,179882,Western Tanager,
Kingbird,,,,,,,,,
Black-bellied Whistling Duck,,,,Black-bellied Whistling Duck,Common,ITIS,175044,Black-bellied Whistling Duck,
Rufous Hummingbird,,,,Rufous Hummingbird,Common,ITIS,178040,Rufous Hummingbird,
Black-throated Gray Warbler,,,,Black-throated Gray Warbler,Common,ITIS,950057,Black-throated Gray Warbler,
Lawrence's Goldfinch,,,,Lawrence's Goldfinch,Common,ITIS,179257,Lawrence's Goldfinch,
Scott's Oriole,,,,Scott's Oriole,Common,ITIS,179082,Scott's Oriole,
Gray Flycatcher,,,,Gray Flycatcher,Common,ITIS,178347,Gray Flycatcher,
Falcon,,,,,,,,,
Cowbird,,,,,,,,,
Sharp-shinned Hawk,,,,Sharp-shinned Hawk,Common,ITIS,175304,Sharp-shinned Hawk,
Steller's Jay,,,,Steller's Jay,Common,ITIS,179685,Steller's Jay,
Meadowlark,,,,,,,,,
White-throated Sparrow,,,,White-throated Sparrow,Common,ITIS,179462,White-throated Sparrow,
Lesser Yellowlegs,,,,Lesser Yellowlegs,Common,ITIS,176620,Lesser Yellowlegs,
Sora,,,,,,,,,
Lesser Scaup,,,,Lesser Scaup,Common,ITIS,175134,Lesser Scaup,
Green-winged Teal,,,,Green-winged Teal,Common,ITIS,175081,Green-winged Teal,
Canvasback,,,,Canvasback,Common,ITIS,175129,Canvasback,
Jay,,,,,,,,,
Black-and-white Warbler,,,,Black-and-white Warbler,Common,ITIS,178844,Black-and-white Warbler,
House Wren,,,,House Wren,Common,ITIS,178541,House Wren,
Crissal Thrasher,,,,Crissal Thrasher,Common,ITIS,178652,Crissal Thrasher,
Swamp Sparrow,,,,Swamp Sparrow,Common,ITIS,179488,Swamp Sparrow,
Wren,,,,,,,,,
Virginia Rail,,,,Virginia Rail,Common,ITIS,176221,Virginia Rail,
Lark Bunting,,,,Lark Bunting,Common,ITIS,179312,Lark Bunting,
Vesper Sparrow,,,,Vesper Sparrow,Common,ITIS,179366,Vesper Sparrow,
Oriole,,,,,,,,,
Common Nighthawk,,,,Common Nighthawk,Common,ITIS,177979,Common Nighthawk,
Blue Grosbeak,,,,Blue Grosbeak,Common,ITIS,726198,Blue Grosbeak,
Ovenbird,,,,Ovenbird,Common,ITIS,726205,Ovenbird,
American White Pelican,,,,American White Pelican,Common,ITIS,174684,American White Pelican,
Sage Thrasher,,,,Sage Thrasher,Common,ITIS,178654,Sage Thrasher,
Zone-tailed Hawk,,,,Zone-tailed Hawk,Common,ITIS,175368,Zone-tailed Hawk,
Cockatiel,,,,Cockatiel,Common,ITIS,177497,Cockatiel,
African Collared-Dove,,,,,,,,,
Yellow-breasted Chat,,,,Yellow-breasted Chat,Common,ITIS,178964,Yellow-breasted Chat,
Accipiter Hawk,,,,,,,,,
Common Goldeneye,,,,Common Goldeneye,Common,ITIS,175141,Common Goldeneye,
Dove,,,,,,,,,
Mountain Chickadee,,,,Mountain Chickadee,Common,ITIS,554385,Mountain Chickadee,
Hooded Merganser,,,,Hooded Merganser,Common,ITIS,175183,Hooded Merganser,
Hammond's Flycatcher,,,,Hammond's Flycatcher,Common,ITIS,554254,Hammond's Flycatcher,
Bridled Titmouse,,,,Bridled Titmouse,Common,ITIS,554141,Bridled Titmouse,
Plumbeous Vireo,,,,Plumbeous Vireo,Common,ITIS,554477,Plumbeous Vireo,
Buteo,,,,,,,,,
House Sparrow or Finch,,,,,,,,,
Pyrrhuloxia,,,,Pyrrhuloxia,Common,ITIS,179132,Pyrrhuloxia,
Pink-sided Junco,,,,,,,,,
Warbling Vireo,,,,Warbling Vireo,Common,ITIS,179023,Warbling Vireo,
Chinese Goose,,,,,,,,,
Brown Pelican,,,,Brown Pelican,Common,ITIS,174685,Brown Pelican,
Glossy Ibis,,,,Glossy Ibis,Common,ITIS,174924,Glossy Ibis,
Yellow-throated Warbler,,,,Yellow-throated Warbler,Common,ITIS,950049,Yellow-throated Warbler,
Franklin's Gull,,,,Franklin's Gull,Common,ITIS,824082,Franklin's Gull,
Wood Stork,,,,Wood Stork,Common,ITIS,174897,Wood Stork,
Hairy Woodpecker,,,,Hairy Woodpecker,Common,ITIS,1145285,Hairy Woodpecker,
Lewis's Woodpecker,,,,Lewis's Woodpecker,Common,ITIS,178196,Lewis's Woodpecker,
Snow Goose,,,,Snow Goose,Common,ITIS,175029,Snow Goose,
Swift,,,,,,,,,
Parakeet,,,,,,,,,
Acorn Woodpecker,,,,Acorn Woodpecker,Common,ITIS,178189,Acorn Woodpecker,
Magnolia Warbler,,,,Magnolia Warbler,Common,ITIS,950035,Magnolia Warbler,
Goose,,,,,,,,,
Domestic Goose,,,,,,,,,
Stilt,,,,,,,,,
Townsend's Solitaire,,,,Townsend's Solitaire,Common,ITIS,179824,Townsend's Solitaire,
Pine Siskin,,,,Pine Siskin,Common,ITIS,179246,Pine Siskin,
American Crow,,,,American Crow,Common,ITIS,179731,American Crow,
Common Poorwill,,,,Common Poorwill,Common,ITIS,555544,Common Poorwill,
Heron,,,,,,,,,
Gray Vireo,,,,Gray Vireo,Common,ITIS,179008,Gray Vireo,
Myiarchus Flycatcher,,,,,,,,,
Willet,,,,Willet,Common,ITIS,824147,Willet,
Pacific/Winter Wren,,,,,,,,,
Northern Parula,,,,Northern Parula,Common,ITIS,950033,Northern Parula,
Shorebird,,,,,,,,,
Broad-tailed Hummingbird,,,,Broad-tailed Hummingbird,Common,ITIS,178038,Broad-tailed Hummingbird,
Calidris Sandpiper,,,,,,,,,
Waterfowl,,,,Waterfowl,Common,ITIS,174982,Waterfowl,
Chordeiles Nighthawk,,,,,,,,,
Clay-colored Sparrow,,,,Clay-colored Sparrow,Common,ITIS,179439,Clay-colored Sparrow,
Egret/Heron,,,,,,,,,
Willow Flycatcher,,,,Willow Flycatcher,Common,ITIS,178341,Willow Flycatcher,
Red-shouldered Hawk,,,,Red-shouldered Hawk,Common,ITIS,175359,Red-shouldered Hawk,
Monk Parakeet,,,,Monk Parakeet,Common,ITIS,177723,Monk Parakeet,
Purple Martin,,,,Purple Martin,Common,ITIS,178464,Purple Martin,
Myrtle Warbler,,,,Myrtle Warbler,Common,ITIS,950046,Myrtle Warbler,
Golden-crowned Kinglet,,,,Golden-crowned Kinglet,Common,ITIS,179865,Golden-crowned Kinglet,
Dusky Flycatcher,,,,Dusky Flycatcher,Common,ITIS,178346,Dusky Flycatcher,
Common Canary,,,,Common Canary,Common,ITIS,179558,Common Canary,
Ibis,,,,,,,,,
Least Bittern,,,,Least Bittern,Common,ITIS,174846,Least Bittern,
Western Flycatcher,,,,Western Flycatcher,Common,ITIS,178348,Western Flycatcher,
Golden Eagle,,,,Golden Eagle,Common,ITIS,175407,Golden Eagle,
Chestnut-sided Warbler,,,,Chestnut-sided Warbler,Common,ITIS,950040,Chestnut-sided Warbler,
Long-eared Owl,,,,Long-eared Owl,Common,ITIS,177932,Long-eared Owl,
Ridgeway's Rail,,,,,,,,,
Eastern Phoebe,,,,Eastern Phoebe,Common,ITIS,178329,Eastern Phoebe,
Chihuahuan Meadowlark,,,,,,,,,
Hutton's Vireo,,,,Hutton's Vireo,Common,ITIS,178997,Hutton's Vireo,
